concept,concept_safe,group,condition,dreambooth_clip,baseline_clip,delta_clip,dreambooth_fid,baseline_fid,delta_fid,dreambooth_kid,baseline_kid,delta_kid,dreambooth_clip_ci95,baseline_clip_ci95,dreambooth_fid_ci95,baseline_fid_ci95,dreambooth_kid_ci95,baseline_kid_ci95
chamanto,chamanto,artifact_object_clothing,with_finetuning,30.3646531124115,20.335067902565,10.029585209846498,204.1574096681714,312.89196483730154,-108.73455516913015,0.04680137344977986,0.11691531848535108,-0.07011394503557122,"30.365 [30.126, 30.576]","20.335 [20.139, 20.536]","204.157 [199.766, 249.829]","312.892 [312.180, 349.741]","0.047 [0.042, 0.087]","0.117 [0.112, 0.158]"
chamanto,chamanto,artifact_object_clothing,without_finetuning,16.531928852558135,16.531928852558135,0.0,365.3672387716469,365.3672387716469,0.0,0.16008878062215048,0.16008878062215048,0.0,"16.532 [16.362, 16.701]","16.532 [16.362, 16.701]","365.367 [365.765, 397.913]","365.367 [365.765, 397.913]","0.160 [0.155, 0.205]","0.160 [0.155, 0.205]"
jian,jian,artifact_object_clothing,with_finetuning,27.28614738559723,21.69732113838196,5.58882624721527,240.7740522470217,367.39517333575014,-126.62112108872844,0.06470144934994249,0.18620923060975159,-0.1215077812598091,"27.286 [27.042, 27.541]","21.697 [21.546, 21.851]","240.774 [246.327, 275.592]","367.395 [369.221, 395.357]","0.065 [0.062, 0.098]","0.186 [0.177, 0.225]"
jian,jian,artifact_object_clothing,without_finetuning,20.46953116607666,20.46953116607666,0.0,360.449684715869,360.449684715869,0.0,0.20862391635467192,0.20862391635467192,0.0,"20.470 [20.328, 20.620]","20.470 [20.328, 20.620]","360.450 [358.830, 388.845]","360.450 [358.830, 388.845]","0.209 [0.195, 0.249]","0.209 [0.195, 0.249]"
patuá,patua,artifact_object_clothing,with_finetuning,30.145404199600218,19.834976954460146,10.310427245140072,218.97246770742777,346.7693375653744,-127.79686985794666,0.062244178288699104,0.13060645646596525,-0.06836227817726614,"30.145 [30.030, 30.270]","19.835 [19.707, 19.971]","218.972 [204.736, 270.611]","346.769 [344.249, 383.235]","0.062 [0.054, 0.117]","0.131 [0.124, 0.180]"
patuá,patua,artifact_object_clothing,without_finetuning,18.538113714218138,18.538113714218138,0.0,354.6615145813713,354.6615145813713,0.0,0.1658886324951836,0.1658886324951836,0.0,"18.538 [18.457, 18.626]","18.538 [18.457, 18.626]","354.662 [343.536, 390.057]","354.662 [343.536, 390.057]","0.166 [0.158, 0.220]","0.166 [0.158, 0.220]"
chaneques,chaneques,folklore_being,with_finetuning,29.908598403930664,22.13782204723358,7.770776356697084,266.8856276959093,369.3744182545595,-102.48879055865018,0.08165025521818725,0.09788355740430088,-0.01623330218611363,"29.909 [29.756, 30.051]","22.138 [21.986, 22.298]","266.886 [253.415, 327.481]","369.374 [369.607, 417.392]","0.082 [0.064, 0.146]","0.098 [0.099, 0.147]"
chaneques,chaneques,folklore_being,without_finetuning,20.468563081741333,20.468563081741333,0.0,335.3411235152629,335.3411235152629,0.0,0.09715364629194934,0.09715364629194934,0.0,"20.469 [20.324, 20.609]","20.469 [20.324, 20.609]","335.341 [329.034, 380.935]","335.341 [329.034, 380.935]","0.097 [0.094, 0.154]","0.097 [0.094, 0.154]"
saci,saci,folklore_being,with_finetuning,26.59622331428528,17.92299301624298,8.673230298042299,294.2096961109239,363.02936403004446,-68.81966791912055,0.14486780530940502,0.1296536910296524,0.01521411427975261,"26.596 [26.420, 26.783]","17.923 [17.626, 18.184]","294.210 [282.826, 341.588]","363.029 [362.049, 407.930]","0.145 [0.132, 0.205]","0.130 [0.123, 0.182]"
saci,saci,folklore_being,without_finetuning,17.6366052236557,17.69184811592102,-0.0552428922653192,354.0217333485094,353.2625089116268,0.7592244368825618,0.1319310176241424,0.13371584267998005,-0.0017848250558376577,"17.637 [17.424, 17.883]","17.692 [17.458, 17.947]","354.022 [350.897, 396.784]","353.263 [349.931, 395.832]","0.132 [0.125, 0.188]","0.134 [0.127, 0.191]"
cuscuz,cuscuz,food,with_finetuning,30.175874792099,16.234198999404907,13.941675792694092,177.63773179724012,370.3488984892113,-192.7111666919712,0.06379171952264251,0.18675038596324756,-0.12295866644060505,"30.176 [30.044, 30.318]","16.234 [16.092, 16.383]","177.638 [178.541, 214.368]","370.349 [367.925, 403.528]","0.064 [0.059, 0.101]","0.187 [0.175, 0.230]"
cuscuz,cuscuz,food,without_finetuning,21.384087371826173,21.384087371826173,0.0,280.2967399452761,280.2967399452761,0.0,0.11876089907188137,0.11876089907188137,0.0,"21.384 [21.150, 21.611]","21.384 [21.150, 21.611]","280.297 [280.354, 313.913]","280.297 [280.354, 313.913]","0.119 [0.111, 0.159]","0.119 [0.111, 0.159]"
lokum,lokum,food,with_finetuning,33.12226302909851,24.43551731300354,8.686745716094972,229.2123821357738,296.4213038691041,-67.20892173333033,0.06900946983270684,0.05865740906706929,0.01035206076563755,"33.122 [32.967, 33.275]","24.436 [24.122, 24.758]","229.212 [215.536, 284.772]","296.421 [298.470, 341.496]","0.069 [0.064, 0.121]","0.059 [0.060, 0.103]"
lokum,lokum,food,without_finetuning,17.647756797790528,17.647756797790528,0.0,330.22438986419655,330.22438986419655,0.0,0.12092005104689063,0.12092005104689063,0.0,"17.648 [17.464, 17.813]","17.648 [17.464, 17.813]","330.224 [325.995, 372.842]","330.224 [325.995, 372.842]","0.121 [0.118, 0.172]","0.121 [0.118, 0.172]"
