concept,concept_safe,group,method,condition,folder,sample_count,clip_mean,clip_std,clip_ci95_low,clip_ci95_high,fid_mean,fid_std,fid_ci95_low,fid_ci95_high,kid_mean,kid_std,kid_ci95_low,kid_ci95_high
chamanto,chamanto,artifact_object_clothing,dreambooth_lora,checkpoint_500,/workspace/outputs/dreambooth/output_chamanto_checkpoint_500,100,21.247777662277223,3.642222524068343,20.54988803434372,21.9797427816391,315.0194228755211,12.64355793519218,308.51846583586547,357.977909638234,0.11138350322928448,0.015011079494216614,0.10450887241886599,0.16327915777684035
chamanto,chamanto,artifact_object_clothing,dreambooth_lora,checkpoint_1000,/workspace/outputs/dreambooth/output_chamanto_checkpoint_1000,100,23.93279739379883,4.174268630611507,23.12273699474335,24.778577369213107,260.1644809270995,12.070934687738806,257.0937843816721,303.3733538038138,0.0825078963952639,0.014848173861863906,0.07722854155352182,0.13403967781851175
chamanto,chamanto,artifact_object_clothing,dreambooth_lora,checkpoint_1500,/workspace/outputs/dreambooth/output_chamanto_checkpoint_1500,100,27.054482707977296,4.37698666751321,26.191918166160583,27.886833163261414,246.21330877906416,12.362058174217657,242.0418867456875,289.6894996226118,0.07035828988821846,0.01451047068272564,0.06478942427390183,0.12096334441820805
chamanto,chamanto,artifact_object_clothing,dreambooth_lora,checkpoint_2000,/workspace/outputs/dreambooth/output_chamanto_checkpoint_2000,100,28.304577350616455,3.93212578980733,27.506833908081056,29.06162921857834,236.5817996368781,12.47961112518098,231.97132941283303,280.9208031048322,0.07132450320860162,0.015253159358604978,0.06421876308387235,0.12241949524189875
chamanto,chamanto,artifact_object_clothing,dreambooth_lora,checkpoint_2500,/workspace/outputs/dreambooth/output_chamanto_checkpoint_2500,100,27.816933364868163,3.8478000887051342,27.112885088443754,28.53560245847702,232.19141040457993,12.793234790827078,226.54874614808986,275.00829217049596,0.06803523808939316,0.014336438701731034,0.06219788362811699,0.1191311689126309
chamanto,chamanto,artifact_object_clothing,dreambooth_lora,checkpoint_3000,/workspace/outputs/dreambooth/output_a_photo_of_chamanto_with_finetuning,1000,30.3646531124115,3.6304828203331594,30.167300662374497,30.582886302280425,204.1574096681714,12.2567288755763,199.49805199289284,246.53199831924601,0.04680137344977986,0.012362430524968611,0.04282261055962764,0.08952723425417372
chaneques,chaneques,folklore_being,dreambooth_lora,checkpoint_500,/workspace/outputs/dreambooth/output_chaneques_checkpoint_500,100,26.10061891555786,3.033184146930343,25.53188443803787,26.707133999347686,299.4040207414845,13.903286858170882,293.1837566633518,348.06046716888125,0.08292742110749218,0.017060181157565867,0.07755185979851174,0.14453197141232063
chaneques,chaneques,folklore_being,dreambooth_lora,checkpoint_1000,/workspace/outputs/dreambooth/output_chaneques_checkpoint_1000,100,27.869869995117188,2.791429747173826,27.290082746505735,28.4373563580513,281.5854015116842,12.858585124315585,281.23426168517733,330.35333827499437,0.05675165880676403,0.0146847383479456,0.05659590631974293,0.11363756109291004
chaneques,chaneques,folklore_being,dreambooth_lora,checkpoint_1500,/workspace/outputs/dreambooth/output_chaneques_checkpoint_1500,100,27.565837841033936,3.157583762554539,26.95912864160538,28.184071619033812,281.3694993162698,13.188896395287669,277.53665831237845,328.00229319604694,0.07963645248279194,0.016744637391817384,0.07465811757597203,0.13901296417351
chaneques,chaneques,folklore_being,dreambooth_lora,checkpoint_2000,/workspace/outputs/dreambooth/output_chaneques_checkpoint_2000,100,29.730704307556152,2.2922620767149766,29.25664304637909,30.162443127155303,277.7199808740067,15.422575372172611,272.44470398126043,331.54563299358324,0.06961521625696276,0.016961064332164665,0.06523830133575295,0.1311022966120348
