concept,concept_safe,group,method,condition,folder,sample_count,clip_mean,clip_std,clip_ci95_low,clip_ci95_high,fid_mean,fid_std,fid_ci95_low,fid_ci95_high,kid_mean,kid_std,kid_ci95_low,kid_ci95_high
chamanto,chamanto,artifact_object_clothing,base_model,without_finetuning,/workspace/outputs/dreambooth/output_a_photo_of_chamanto_without_finetuning,1000,16.531928852558135,2.779197812933398,16.361916157102584,16.70107534544468,365.3672387716469,8.105993768394391,365.76539777969754,397.9128811272861,0.16008878062215048,0.01276495726990951,0.15533610409418191,0.20519286139954912
chamanto,chamanto,artifact_object_clothing,dreambooth_lora,with_finetuning,/workspace/outputs/dreambooth/output_a_photo_of_chamanto_with_finetuning,1000,30.3646531124115,3.6304828203331594,30.125855675458908,30.57587517976761,204.1574096681714,12.412732384042402,199.76575273367925,249.82888323746812,0.04680137344977986,0.011884056229910822,0.041722088789907054,0.08717148957754188
chaneques,chaneques,folklore_being,base_model,without_finetuning,/workspace/outputs/dreambooth/output_a_photo_of_chaneques_without_finetuning,1000,20.468563081741333,2.5243529619059943,20.324154024505617,20.608707227659224,335.3411235152629,13.038326069071372,329.0338511963544,380.9351569031663,0.09715364629194934,0.016134221314156934,0.09361977803540264,0.15410450729799943
chaneques,chaneques,folklore_being,dreambooth_lora,with_finetuning,/workspace/outputs/dreambooth/output_a_photo_of_chaneques_with_finetuning,1000,29.908598403930664,2.373940162679011,29.756035419750212,30.050809330034255,266.8856276959093,18.542247310201684,253.41467060582588,327.4812194188898,0.08165025521818725,0.02156002248538516,0.06434714811760954,0.14628506306553096
cuscuz,cuscuz,food,base_model,without_finetuning,/workspace/outputs/dreambooth/output_a_photo_of_cuscuz_without_finetuning,1000,21.384087371826173,3.7477263101629577,21.15031477458477,21.611277613830566,280.2967399452761,8.807789948858796,280.35420340948804,313.9131762316666,0.11876089907188137,0.012520062118350854,0.11078821958062915,0.15883464353422497
cuscuz,cuscuz,food,dreambooth_lora,with_finetuning,/workspace/outputs/dreambooth/output_a_photo_of_cuscuz_with_finetuning,1000,30.175874792099,2.185966625731583,30.04351877670288,30.31797616467476,177.63773179724012,9.406109274352637,178.541048700791,214.36801114264549,0.06379171952264251,0.01080385661110421,0.0591228307761576,0.1009796561374942
jian,jian,artifact_object_clothing,base_model,without_finetuning,/workspace/outputs/dreambooth/output_a_photo_of_jian_without_finetuning,1000,20.46953116607666,2.3199613961735364,20.328174749779702,20.620353880620005,360.449684715869,7.526805818892966,358.82999980357727,388.8454448538544,0.20862391635467192,0.014269182686536147,0.19519904338332492,0.24916045826879768
jian,jian,artifact_object_clothing,dreambooth_lora,with_finetuning,/workspace/outputs/dreambooth/output_a_photo_of_jian_with_finetuning,1000,27.28614738559723,4.173880982209711,27.042060350322725,27.540755001878736,240.7740522470217,7.325108796284046,246.3268360839086,275.59172092455617,0.06470144934994249,0.008896431280978143,0.06239000246960057,0.09820705663509072
lokum,lokum,food,base_model,without_finetuning,/workspace/outputs/dreambooth/output_a_photo_of_lokum_without_finetuning,1000,17.647756797790528,2.6990239901634583,17.463755754899978,17.81266743862629,330.22438986419655,12.006560681407176,325.99522490349733,372.84168192233716,0.12092005104689063,0.014018347390700936,0.11750114952430639,0.17210148295630331
lokum,lokum,food,dreambooth_lora,with_finetuning,/workspace/outputs/dreambooth/output_a_photo_of_lokum_with_finetuning,1000,33.12226302909851,2.4080346395046774,32.967433738660816,33.275475166893,229.2123821357738,17.612632455693998,215.53623736371463,284.7721545294586,0.06900946983270684,0.014563135906223115,0.06385092610164185,0.12113364094844659
patuá,patua,artifact_object_clothing,base_model,without_finetuning,/workspace/outputs/dreambooth/output_a_photo_of_patua_without_finetuning,1000,18.538113714218138,1.378770310916944,18.456795035147668,18.625795104932784,354.6615145813713,11.929605134449107,343.5355318333027,390.0574788666989,0.1658886324951836,0.015821658352094817,0.15770728804488587,0.21996310532303973
patuá,patua,artifact_object_clothing,dreambooth_lora,with_finetuning,/workspace/outputs/dreambooth/output_a_photo_of_patua_with_finetuning,1000,30.145404199600218,1.99853425427596,30.029502007865908,30.270337638378145,218.97246770742777,16.550768966682657,204.73649575202623,270.6109333811799,0.062244178288699104,0.015963168328451034,0.054105180961039626,0.11683422829215154
paçoca,pacoca,food,base_model,without_finetuning,/workspace/outputs/dreambooth/output_a_photo_of_pacoca_without_finetuning,1000,16.454518040657042,1.6215610881625993,16.355031731295586,16.555165782356262,329.55099178645594,5.020417443248246,330.9286240978044,350.54272589448203,0.21357774800904172,0.015715106665514463,0.2006899813685743,0.2635906400439402
paçoca,pacoca,food,dreambooth_lora,with_finetuning,/workspace/outputs/dreambooth/output_a_photo_of_pacoca_with_finetuning,1000,25.402661824226378,5.492847523412005,25.039334162282945,25.736040153813363,227.8217017365283,7.087195772908611,232.69846564345556,260.87458402359556,0.05189558914010872,0.007435386734391579,0.052900585663523146,0.08284936121010608
saci,saci,folklore_being,base_model,without_finetuning,/workspace/outputs/dreambooth/output_a_photo_of_saci_without_finetuning,1000,17.6366052236557,3.7806817755421678,17.423751691818236,17.882978075003624,354.0217333485094,11.660075455498218,350.89682802479564,396.78440837336717,0.1319310176241424,0.016273152634895736,0.12528808583150783,0.18845380287614708
saci,saci,folklore_being,dreambooth_lora,with_finetuning,/workspace/outputs/dreambooth/output_a_photo_of_saci_with_finetuning,1000,26.59622331428528,2.817385201523031,26.41952519712448,26.78334045367241,294.2096961109239,15.236405253460807,282.8255931848789,341.58814621076965,0.14486780530940502,0.019270145237430418,0.13228439047837223,0.20475746454297655
