concept,group,method,condition,n,clip_ci_high,clip_ci_low,clip_mean,clip_std,fid,fid_boot_mean,fid_ci_high,fid_ci_low,fid_projected,fid_std,fid_sub100,fid_sub100_std,kid,kid_boot_mean,kid_ci_high,kid_ci_low,kid_std,kid_sub100,kid_sub100_std
chamanto,artifact_object_clothing,dreambooth_lora,without_finetuning,1000,,,,,365.8381385310457,366.11357555921353,370.48601340513267,361.43443247815185,365.8381661166196,2.3293095707304685,370.4106536084811,7.1787958321328595,0.1594911904302343,0.15998431970083468,0.16517677912977258,0.15475159120458087,0.0026988580105335815,0.16081515753917,0.008789003688205116
chamanto,artifact_object_clothing,dreambooth_lora,with_finetuning,1000,,,,,204.53783932583343,204.85430514209554,208.36840304024307,201.48021745472593,204.53788730111467,1.7497276246420814,207.7010625321322,4.842000896870518,0.04645174192502788,0.046698776420879835,0.049366636724659185,0.044261178345100294,0.0012807982325273655,0.0470645329711545,0.0035410995133039755
chamanto,artifact_object_clothing,textual_inversion,with_baseline,960,20.550993603120247,20.143179040774704,20.353230291604994,3.2418847658336727,312.1341075876071,312.45432424239846,315.8419336986752,308.94905473829806,312.1341375028014,1.8193351990072997,315.39444754101225,5.24815628607765,0.11708045982113147,0.11749764883582858,0.12057190049380787,0.11438942897928979,0.0016132424744616772,0.11752653065020442,0.00473668699677304
chamanto,artifact_object_clothing,dreambooth_lora,checkpoint_500,100,,,,,315.6621516184045,318.0434559791844,332.81422658937163,304.2471706541354,315.66218796313655,7.854541507581005,,,0.1112874948878253,0.11552408162972748,0.1305497727386554,0.1018799356322064,0.007425707785621618,,
chamanto,artifact_object_clothing,dreambooth_lora,checkpoint_1000,100,,,,,260.37768003503083,263.05740029266764,275.38206584826486,252.2550749602305,260.37771996148876,6.005321512411887,,,0.08234582396868007,0.08592755305988228,0.09628749163762668,0.0766605296147836,0.005207811194620646,,
chamanto,artifact_object_clothing,dreambooth_lora,checkpoint_1500,100,,,,,246.29991464071065,248.7656802827351,262.7145969027164,235.85807154829152,246.29995641241203,6.497272640348713,,,0.07002140186216632,0.07329205084413302,0.08335791740714814,0.06374951145851368,0.005269048349312718,,
chamanto,artifact_object_clothing,dreambooth_lora,checkpoint_2000,100,,,,,237.21908078471267,239.79044311039706,251.59158540007078,228.2139842992608,237.21912818075964,6.005332277608353,,,0.071337339500543,0.07427679834343064,0.0878258853424258,0.0627268401369445,0.006478150725677785,,
chamanto,artifact_object_clothing,dreambooth_lora,checkpoint_2500,100,,,,,232.32101676403084,234.85014347591834,245.44771978704256,225.30739819910914,232.32106166373273,5.221306035615219,,,0.06747003526152096,0.07038872136322578,0.07885597105259415,0.06203662944791133,0.0043748504785749215,,
chaneques,folklore_being,dreambooth_lora,without_finetuning,1000,,,,,335.1858147862234,335.561678813514,338.76776962323555,332.5496399285192,335.1858464407704,1.5568792421856588,339.1513588283419,4.782282064858489,0.09740033533133774,0.09772357082346912,0.10020001086707861,0.09526427500879561,0.0012925234030061673,0.09762881677358493,0.0032420840835946985
chaneques,folklore_being,dreambooth_lora,with_finetuning,1000,,,,,266.9492507577293,267.25758565613256,269.576940078719,265.0201914102047,266.94931374781345,1.1587538609519221,270.8603343544217,3.833796832864758,0.0818898283612266,0.08213208139910512,0.08509475940121816,0.07926841353602304,0.0015601164958329538,0.08249934852259536,0.005441904112226821
chaneques,folklore_being,textual_inversion,with_baseline,804,22.108878028570718,21.752715789115253,21.93186798498998,2.5534575230899375,370.9145750976379,371.2288834327441,374.7712646843983,367.7686761890103,370.91461034800255,1.8342517280620683,374.87105625104493,4.877356649196982,0.1002659381245854,0.10070854901616662,0.10389852298957179,0.09763320929657585,0.0015532929527772783,0.10077645288015293,0.004055283067720804
chaneques,folklore_being,dreambooth_lora,checkpoint_500,100,,,,,299.7003952222297,302.260996330681,310.24752849374994,295.49076417592664,299.7004339398836,3.817570549978339,,,0.08341459403215312,0.08626854865757039,0.0931884074010565,0.08060098530557806,0.003247102919202281,,
chaneques,folklore_being,dreambooth_lora,checkpoint_1000,100,,,,,281.61392295077377,285.04356109628503,292.9548927064488,278.2616246810009,281.6139656357244,3.74565218522036,,,0.05695648112485241,0.05999894136806581,0.06629452930965044,0.05380694221313255,0.0031928636285075422,,
chaneques,folklore_being,dreambooth_lora,checkpoint_1500,100,,,,,281.17635875261675,284.28594580294816,291.42335231447794,277.270790980312,281.1764071416391,3.662418503647427,,,0.07984029761635547,0.08250282649741894,0.09059050477262001,0.0743110069375224,0.00422591948384961,,
chaneques,folklore_being,dreambooth_lora,checkpoint_2000,100,,,,,277.72030759941333,280.9955962491488,288.86257321071787,273.05401263560583,277.72035855130645,4.1642207690021245,,,0.06964412633716943,0.07270144461397561,0.08082462437500539,0.06523797204261414,0.0038657856565103245,,
chaneques,folklore_being,dreambooth_lora,checkpoint_2500,100,,,,,272.22550201734447,275.470553126774,282.56733812753623,269.3385551368566,272.22555722860216,3.5074402431667577,,,0.0854331919013891,0.08827884524586177,0.09870759784852341,0.07963273293324001,0.004714160788352953,,
cuscuz,food,dreambooth_lora,without_finetuning,1000,,,,,281.008559079977,281.25182122147163,285.3073467958386,277.34079469416935,281.0085870957711,2.0815317049555664,283.7503078733864,8.06641054904559,0.11916825893111715,0.1195695378258539,0.12436634190388937,0.11513649007176863,0.002395624879771184,0.11910854156170977,0.010090526280353104
cuscuz,food,dreambooth_lora,with_finetuning,1000,,,,,178.28099707639666,178.5059248354617,180.20019407343094,176.8572777165038,178.2810258756873,0.8509140359879326,181.34637138768696,2.4521623504730754,0.06436332126111743,0.06454623269693334,0.06618133102805547,0.06298092746292924,0.0008366795882348598,0.06471853136070814,0.0023975727096209798
cuscuz,food,textual_inversion,with_baseline,802,16.414291031431972,16.058999333298413,16.22884964407828,2.5714143330796677,366.6862267537308,366.9533434824401,371.3105053333143,362.9837264150816,366.686250068682,2.1284082292891076,368.656903425335,6.668145648246737,0.1835550816043634,0.18413018937536882,0.18829394534607116,0.1797973311670385,0.002222930838203593,0.18282764694596637,0.006569188360544256
