concept,concept_safe,group,method,condition,folder,sample_count,clip_mean,clip_std,clip_ci95_low,clip_ci95_high,fid_mean,fid_std,fid_ci95_low,fid_ci95_high,kid_mean,kid_std,kid_ci95_low,kid_ci95_high
chamanto,chamanto,artifact_object_clothing,base_model,without_finetuning,/workspace/outputs/textual_inversion/output_a_photo_of_chamanto_without_finetuning,1000,16.531928852558135,2.779197812933398,16.361916157102584,16.70107534544468,365.3672387716469,8.105993768394391,365.76539777969754,397.9128811272861,0.16008878062215048,0.01276495726990951,0.15533610409418191,0.20519286139954912
chamanto,chamanto,artifact_object_clothing,textual_inversion,with_baseline,/workspace/outputs/textual_inversion/output_a_photo_of_chamanto_with_baseline,1000,20.335067902565,3.2587923815767543,20.138643351507188,20.535935661363602,312.89196483730154,9.987716605363435,312.18035746079454,349.74066367909364,0.11691531848535108,0.011831892921787227,0.1121873619986187,0.15761916464450765
chaneques,chaneques,folklore_being,base_model,without_finetuning,/workspace/outputs/textual_inversion/output_a_photo_of_chaneques_without_finetuning,1000,20.468563081741333,2.5243529619059943,20.324154024505617,20.608707227659224,335.3411235152629,13.038326069071372,329.0338511963544,380.9351569031663,0.09715364629194934,0.016134221314156934,0.09361977803540264,0.15410450729799943
chaneques,chaneques,folklore_being,textual_inversion,with_baseline,/workspace/outputs/textual_inversion/output_a_photo_of_chaneques_with_baseline,1000,22.13782204723358,2.520410226298338,21.98574466650486,22.29818955183029,369.3744182545595,11.996619679626393,369.6066835044788,417.392039249192,0.09788355740430088,0.012426256121231955,0.09939554144447035,0.1470045873201913
cuscuz,cuscuz,food,base_model,without_finetuning,/workspace/outputs/textual_inversion/output_a_photo_of_cuscuz_without_finetuning,1000,21.384087371826173,3.7477263101629577,21.15031477458477,21.611277613830566,280.2967399452761,8.807789948858796,280.35420340948804,313.9131762316666,0.11876089907188137,0.012520062118350854,0.11078821958062915,0.15883464353422497
cuscuz,cuscuz,food,textual_inversion,with_baseline,/workspace/outputs/textual_inversion/output_a_photo_of_cuscuz_with_baseline,1000,16.234198999404907,2.469087054756769,16.092061290597915,16.38303915321827,370.3488984892113,9.333448132480974,367.9250370271987,403.5276105010897,0.18675038596324756,0.013683536581808256,0.17540337329407885,0.2296521693912047
jian,jian,artifact_object_clothing,base_model,without_finetuning,/workspace/outputs/textual_inversion/output_a_photo_of_jian_without_finetuning,1000,20.46953116607666,2.3199613961735364,20.328174749779702,20.620353880620005,360.449684715869,7.526805818892966,358.82999980357727,388.8454448538544,0.20862391635467192,0.014269182686536147,0.19519904338332492,0.24916045826879768
jian,jian,artifact_object_clothing,textual_inversion,with_baseline,/workspace/outputs/textual_inversion/output_a_photo_of_jian_with_baseline,1000,21.69732113838196,2.519523335602397,21.546448638653754,21.851193158364296,367.39517333575014,6.7391657610419,369.2209243981411,395.356877603644,0.18620923060975159,0.012399602808311235,0.17713147659758863,0.2250525864413088
lokum,lokum,food,base_model,without_finetuning,/workspace/outputs/textual_inversion/output_a_photo_of_lokum_without_finetuning,1000,17.647756797790528,2.6990239901634583,17.463755754899978,17.81266743862629,330.22438986419655,12.006560681407176,325.99522490349733,372.84168192233716,0.12092005104689063,0.014018347390700936,0.11750114952430639,0.17210148295630331
lokum,lokum,food,textual_inversion,with_baseline,/workspace/outputs/textual_inversion/output_a_photo_of_lokum_with_baseline,1000,24.43551731300354,5.074176347770547,24.122489695191383,24.75765505666733,296.4213038691041,11.228721651493453,298.47008113151327,341.49628226923994,0.05865740906706929,0.011800568640993388,0.06035390208641247,0.10331862962435097
patuá,patua,artifact_object_clothing,base_model,without_finetuning,/workspace/outputs/textual_inversion/output_a_photo_of_patua_without_finetuning,1000,18.538113714218138,1.378770310916944,18.456795035147668,18.625795104932784,354.6615145813713,11.929605134449107,343.5355318333027,390.0574788666989,0.1658886324951836,0.015821658352094817,0.15770728804488587,0.21996310532303973
patuá,patua,artifact_object_clothing,textual_inversion,with_baseline,/workspace/outputs/textual_inversion/output_a_photo_of_patua_with_baseline,1000,19.834976954460146,2.188829983193999,19.707201937437056,19.971287492632868,346.7693375653744,10.495789015577033,344.2487887711161,383.23515839936005,0.13060645646596525,0.013800111499893486,0.12448165378281079,0.17989498360939826
paçoca,pacoca,food,base_model,without_finetuning,/workspace/outputs/textual_inversion/output_a_photo_of_pacoca_without_finetuning,1000,16.454518040657042,1.6215610881625993,16.355031731295586,16.555165782356262,329.55099178645594,5.020417443248246,330.9286240978044,350.54272589448203,0.21357774800904172,0.015715106665514463,0.2006899813685743,0.2635906400439402
paçoca,pacoca,food,textual_inversion,with_baseline,/workspace/outputs/textual_inversion/output_a_photo_of_pacoca_with_baseline,1000,18.864932161331176,2.3684903090457055,18.71941017320156,19.01226660118103,365.41764053118,6.270534467005266,368.3581287739358,392.8126282341483,0.16683714033334374,0.01623902969193659,0.15206206431454683,0.21479068588211558
saci,saci,folklore_being,base_model,without_finetuning,/workspace/outputs/textual_inversion/output_a_photo_of_saci_without_finetuning,1000,17.69184811592102,3.7433771745032645,17.45759513092041,17.947146110630033,353.2625089116268,11.895754289662136,349.93117753432676,395.83222040109786,0.13371584267998005,0.01656603918316506,0.1266556423607556,0.1910338836504437
saci,saci,folklore_being,textual_inversion,with_baseline,/workspace/outputs/textual_inversion/output_a_photo_of_saci_with_baseline,1000,17.92299301624298,4.4897848426882305,17.626365247189998,18.184454831409454,363.02936403004446,11.832198241639292,362.04877894620284,407.92962227701145,0.1296536910296524,0.015877121508984255,0.12341478686872055,0.1823765577778728
